reaction,reaction,metabolite,global_id,flux
EX_galur_m,EX_galur_m,galur_m,EX_galur(e),0.1475090140000005
EX_lac_D_m,EX_lac_D_m,lac_D_m,EX_lac_D(e),0.057845805
EX_bhb_m,EX_bhb_m,bhb_m,EX_bhb(e),0.1885257263846148
EX_metala_m,EX_metala_m,metala_m,EX_metala(e),0.001308965
EX_ph2s_m,EX_ph2s_m,ph2s_m,EX_ph2s(e),0.0018612
EX_alagln_m,EX_alagln_m,alagln_m,EX_alagln(e),4.190300000000006e-05
EX_tsul_m,EX_tsul_m,tsul_m,EX_tsul(e),0.0010661824999999
EX_duri_m,EX_duri_m,duri_m,EX_duri(e),0.0028113049999999
EX_5mta_m,EX_5mta_m,5mta_m,EX_5mta(e),0.0031170850000001
EX_gtp_m,EX_gtp_m,gtp_m,EX_gtp(e),0.0005431
EX_adocbl_m,EX_adocbl_m,adocbl_m,EX_adocbl(e),0.0009690019999999
EX_nadp_m,EX_nadp_m,nadp_m,EX_nadp(e),7.939700000000325e-05
EX_etha_m,EX_etha_m,etha_m,EX_etha(e),0.0288432599999999
EX_galt_m,EX_galt_m,galt_m,EX_galt(e),0.0577726116666669
EX_alaleu_m,EX_alaleu_m,alaleu_m,EX_alaleu(e),0.00460574
EX_tmao_m,EX_tmao_m,tmao_m,EX_tmao(e),0.0150053349999998
EX_4hphac_m,EX_4hphac_m,4hphac_m,EX_4hphac(e),0.0012067999999999
EX_5aptn_m,EX_5aptn_m,5aptn_m,EX_5aptn(e),0.4372868645555561
EX_but_m,EX_but_m,but_m,EX_but(e),0.0120585858333333
