reaction,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
EX_12dgr180_m,12dgr180,0.1,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,,,EX_12dgr180_m,EX_12dgr180(e)
EX_26dap_M_m,26dap_M,0.1,"meso-2,6-Diaminoheptanedioate",,,,,,EX_26dap_M_m,EX_26dap_M(e)
EX_2obut_m,2obut,0.02,2-Oxobutanoate,HMDB00005,C00109,58.0,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",,EX_2obut_m,EX_2obut(e)
EX_3mop_m,3mop,0.02,3-methyl-2-oxopentanoate,HMDB00491,C03465,47.0,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1",,EX_3mop_m,EX_3mop(e)
EX_4hbz_m,4hbz,0.02,4-hydroxybenzoate,HMDB00500,C00156,,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/p-1",,EX_4hbz_m,EX_4hbz(e)
EX_ac_m,ac,0.02,acetate,HMDB00042,C00033,176.0,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",,EX_ac_m,EX_ac(e)
EX_acgam_m,acgam,0.02,N-acetyl-D-glucosamine,HMDB00215,C00140,439174.0,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6+,7+,8+/m0/s1",,EX_acgam_m,EX_acgam(e)
EX_acnam_m,acnam,0.02,N-acetylneuraminate,HMDB00230,C19910,439197.0,,,EX_acnam_m,EX_acnam(e)
EX_acmana_m,acmana,0.02,N-acetyl-D-mannosamine,HMDB01129,C00645,439281.0,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6-,7-,8-/m0/s1",,EX_acmana_m,EX_acmana(e)
EX_ade_m,ade,0.02,Adenine,HMDB00034,C00147,190.0,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",,EX_ade_m,EX_ade(e)
EX_adn_m,adn,0.02,Adenosine,HMDB00050,C00212,60961.0,,,EX_adn_m,EX_adn(e)
EX_ala_D_m,ala_D,0.02,D-alanine,HMDB01310,C00133,71080.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",,EX_ala_D_m,EX_ala_D(e)
EX_arab_D_m,arab_D,0.1,D-Arabinose,,,,,,EX_arab_D_m,EX_arab_D(e)
EX_cgly_m,cgly,0.02,L-cysteinylglycine,HMDB00078,C01419,439498.0,"InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1",,EX_cgly_m,EX_cgly(e)
EX_chor_m,chor,0.1,chorismate,,,,,,EX_chor_m,EX_chor(e)
EX_cit_m,cit,0.02,Citrate,HMDB00094,C00158,311.0,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",,EX_cit_m,EX_cit(e)
EX_amet_m,amet,0.02,S-Adenosyl-L-methionine,HMDB01185,C00019,34756.0,,,EX_amet_m,EX_amet(e)
EX_csn_m,csn,0.02,cytosine,HMDB00630,C00380,597.0,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)",,EX_csn_m,EX_csn(e)
EX_cytd_m,cytd,0.02,Cytidine,HMDB00089,C00475,6175.0,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1",,EX_cytd_m,EX_cytd(e)
EX_dad_2_m,dad_2,0.02,2-deoxyadenosine,HMDB00101,C00559,13730.0,"InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1",,EX_dad_2_m,EX_dad_2(e)
EX_dcyt_m,dcyt,0.02,Deoxycytidine,HMDB00014,C00881,13711.0,"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1",,EX_dcyt_m,EX_dcyt(e)
