sample_id,,Akkermansia,Anaerostipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Collinsella,Coprococcus,Faecalibacterium,Gemmiger,Lachnospira,Parabacteroides,Roseburia,Ruminococcus,Succinivibrio,__
FOS_7_2,0.142745912,0.0,0.298468726,40.461977680000004,11.31585777,5.177783545,3.283155982,4.866337919,5.58006748,10.926550745,0.0,0.752660265,2.90682585,0.0,0.103815209,0.0,3.335063586
FOS_7_3,0.142106011,0.0,0.468949837,40.031263318,11.5390081,5.627398039,3.495807873,4.860025579,6.238453887,10.913741650999999,0.0,0.653687651,2.714224812,0.0,0.071053006,0.0,3.353701862
FOS_8_1,4.287674365,1.772238738,0.045735193,16.990624289,0.7317630909999999,7.409101303,2.103818889,4.070432198,5.190944432,6.265721472000001,4.184770181,0.423050537,7.832151841,0.148639378,3.04139035,0.0,2.355362452
FOS_8_2,4.775413711000001,1.205673759,0.023640662,16.300236407,0.5555555560000001,7.624113475,1.820330969,3.888888889,5.059101655,5.839243499,4.26713948,0.307328605,8.002364066,0.224586288,2.647754137,0.0,2.730496454
FOS_8_3,4.663536776,1.460615545,0.0,17.454355762,0.406885759,6.520605112,2.170057381,3.432446531,4.882629108,5.550339072,3.745435576,0.34428795,8.137715179999999,0.156494523,2.973395931,0.0,3.03599374
FOS_9_1,1.7601760180000001,3.14317146,0.0,26.732673262,3.866100896,7.27644193,5.689140343,0.0,6.632091781,4.934779192,0.0,0.251453717,5.641992771,0.0,5.421970769,0.0,2.703127456
FOS_9_2,1.796714579,3.619096509,0.0,25.654517449,4.581622177,6.59650924,5.531314168,0.0,6.660677618,4.915297741,0.0,0.256673511,5.248973306,0.0,6.660677618,0.0,3.169917864
FOS_9_3,1.577006232,3.777184281,0.0,25.829835945,4.489380644,7.210988172,5.328754928,0.0,6.079104667,4.807325448,0.0,0.330662597,4.756454279,0.0,6.269871551,0.0,3.395650515
Pectin_10_1,0.354484225,0.0,0.0,40.482098547,2.339595888,7.006971523,0.011816141,0.0,3.6157391,8.803024932,0.0,0.047264563,1.9732955220000001,5.671747607,0.14179369,0.0,0.614439324
Pectin_10_2,0.236658383,0.0,0.0,42.148858121,2.555910543,6.49627263,0.0,0.0,3.940362087,7.821559579,0.0,0.0,2.070760857,4.969826056,0.059164596,0.0,0.591645959
Pectin_10_3,0.445930881,0.0,0.0,43.734671124,2.173913043,6.566332219,0.0,0.0,3.823857302,7.837235229,0.0,0.0,2.162764771,5.016722408,0.05574136,0.0,0.590858417
Pectin_1_1,1.938024665,0.673644937,0.176184061,35.858638205000005,0.06218261,2.166027568,1.378381179,0.984557985,2.487304384,9.700487097,1.865478288,9.44139289,1.79293191,5.907347912,3.378588455,0.0,3.388952223
Pectin_1_2,2.10652696,0.611220258,0.130975769,35.876446188,0.065487885,2.073783017,1.397074874,1.047806156,2.543112857,10.205195373,1.80091683,8.917266972,1.080550098,5.686531325,4.267627156,0.0,3.339882122
Pectin_1_3,2.512676056,0.653521127,0.078873239,35.876056340999995,0.078873239,2.287323944,1.442253521,1.126760563,2.625352113,10.715492958,1.994366197,8.61971831,1.633802817,5.442253521,3.695774647,0.0,3.515492957
Pectin_2_1,3.104091258,0.054842602,0.054842602,28.737523305,2.6872874849999997,3.498957991,3.531863552,0.680048261,2.983437534,9.904573873,2.994406055,10.7820555,1.853679938,4.694526708,1.1516946369999999,0.0,3.652517275
Pectin_2_2,3.231679563,0.091033227,0.056895767,28.026854799000002,3.1065088760000004,3.698224852,3.527537551,0.807919891,2.878925808,9.888484297,3.163404643,10.49157943,1.763768775,5.063723259,1.206190259,0.0,4.358215749
Pectin_2_3,2.979347704,0.045141632,0.090283264,27.841101453,2.8439228080000003,3.588759734,3.656472181,0.868976413,3.024489335,9.694165444,3.306624534,10.26972125,1.9298047619999998,4.751156754,1.44453222,0.0,4.3335966599999995
Pectin_3_1,6.283662477,1.286654698,0.074805506,30.774985040999997,0.179533214,5.565529623,0.852782765,0.0,1.481149013,3.695391981,6.747456613,3.934769599,1.391382406,1.226810293,5.206463196,0.0,1.795332137
Pectin_3_2,5.554303741,1.430824696,0.056331681,32.030193779,0.23659306,5.137449301,1.250563317,0.0,1.746282109,3.943217666,6.894997747,2.151870212,1.791347454,1.025236593,5.8246958090000005,0.0,1.735015773
Pectin_3_3,6.0891748,1.275510204,0.022182786,31.033717831,0.166370896,5.146406389,1.242236025,0.0,1.386424135,3.7377994680000004,6.166814552,2.928127773,1.5306122450000001,1.142413487,6.111357587,0.0,2.207187223
